Year,Month,Day,Pressure_Surface,Temp,Temp_MAX,Temp_MIN,Dew_Point,Wet_Bulb,Specific_Humidity,Relative_Humidity,Wind_Speed,Wind_Speed_Max,Wind_Speed_Min,Wind_Direction,Rainfall
1981,1,1,101.28,18.98,26.13,12.76,9.46,14.22,7.32,56.25,2.42,3.19,1.63,334.12,0
1981,1,2,101.28,19.08,25.51,13.21,8.41,13.75,6.84,51.94,1.66,2.34,1.19,263.5,0
1981,1,3,101.29,19.15,25.46,13.71,9.52,14.33,7.32,54.81,1.38,2.11,0.48,226.94,0
1981,1,4,101.29,19.07,25.85,13.53,9.04,14.05,7.14,54.5,1.84,3.17,0.54,248.06,0
1981,1,5,101.24,19.89,26.61,13.94,12.74,16.32,9.22,67.88,2.14,3.93,0.86,194.19,0
1981,1,6,101.09,20.82,26.62,15.56,15.95,18.39,11.29,76.06,2.33,3.25,0.83,191.75,1
1981,1,7,101.06,20.21,26.27,16.43,17.07,18.64,12.08,83.44,3.07,4.94,0.7,224.88,1
1981,1,8,101.35,17.97,23.93,13.39,12.27,15.12,8.85,72.5,2.84,4.0,1.87,275.69,1
1981,1,9,101.62,16.46,23.08,10.91,9.0,12.73,7.08,64.38,3.12,4.02,2.13,179.75,0
1981,1,10,101.68,16.62,24.37,10.02,8.31,12.46,6.71,61.56,2.49,3.23,0.66,159.0,0
1981,1,11,101.7,17.68,25.27,10.57,10.71,14.19,7.93,66.56,2.33,3.26,0.71,208.5,0
1981,1,12,101.87,18.78,24.62,14.18,12.27,15.53,8.79,67.81,2.95,5.3,1.83,129.94,0
1981,1,13,101.75,19.4,25.73,14.67,13.97,16.69,9.83,73.0,3.28,4.97,1.99,186.06,1
1981,1,14,101.66,19.12,25.62,14.87,13.07,16.09,9.28,70.44,3.23,4.7,1.99,329.75,1
1981,1,15,101.69,19.15,26.65,12.64,12.44,15.8,8.85,68.0,2.98,3.65,1.91,178.06,0
1981,1,16,101.72,19.71,27.92,12.5,11.65,15.68,8.42,63.69,2.68,3.41,1.56,152.38,0
1981,1,17,101.7,20.53,28.34,13.32,9.74,15.14,7.45,53.62,1.78,3.19,0.29,123.12,0
1981,1,18,101.48,20.47,27.63,13.51,9.37,14.91,7.26,52.0,1.48,3.02,0.22,203.62,0
1981,1,19,101.31,19.86,26.73,13.67,9.08,14.47,7.14,52.44,1.58,2.62,0.16,220.94,0
1981,1,20,101.48,19.58,26.57,14.05,9.28,14.43,7.2,53.75,2.11,2.69,0.94,259.75,0
1981,1,21,101.44,19.65,26.28,13.3,8.7,14.18,6.96,51.62,1.62,2.55,0.34,199.81,0
1981,1,22,101.3,19.98,26.03,13.78,8.44,14.21,6.84,49.25,1.42,2.99,0.2,191.31,0
1981,1,23,101.32,20.2,27.44,14.23,9.98,15.08,7.57,55.25,1.9,3.46,0.53,203.25,0
1981,1,24,101.42,20.69,28.06,14.88,12.45,16.57,8.97,63.56,1.63,3.23,0.2,87.88,0
1981,1,25,101.58,20.19,27.72,13.4,11.99,16.09,8.61,62.0,2.88,3.8,2.14,130.88,0
1981,1,26,101.77,20.26,27.12,14.26,13.79,17.03,9.7,69.12,2.93,3.91,1.6,210.94,1
